10876 39994
0 1 84
0 2 87
0 3 78
0 4 16
0 5 94
0 6 36
0 7 87
0 8 93
0 9 50
0 10 22
1 2 63
1 11 28
1 12 91
1 13 60
1 14 64
1 15 27
1 16 41
1 17 27
1 18 73
1 19 37
3 20 12
3 21 69
3 22 68
3 23 30
3 24 83
3 25 31
3 26 63
3 27 24
3 28 68
3 29 36
8 30 30
8 31 3
8 32 23
8 33 59
8 34 70
8 35 68
8 36 94
8 37 57
8 38 12
8 39 43
10 41 30
10 136 74
10 137 22
10 138 20
10 139 85
10 140 38
10 141 99
10 142 25
10 143 16
10 144 71
12 40 14
12 41 27
12 42 92
12 43 81
12 44 57
12 45 74
12 46 63
12 47 71
12 48 97
12 49 82
14 199 6
14 756 26
14 1116 85
14 2537 28
14 2787 37
14 3307 6
14 4524 47
14 4674 30
14 6016 14
14 7040 58
17 79 25
17 80 96
17 81 83
17 82 46
17 83 15
17 84 68
17 85 35
17 86 65
17 87 44
17 88 51
19 69 88
19 70 9
19 71 77
19 72 79
19 73 89
19 74 85
19 75 4
19 76 52
19 77 55
19 78 100
20 50 33
20 51 61
20 52 77
20 53 69
20 54 40
20 55 13
20 56 27
20 57 87
20 58 95
20 59 40
21 22 96
21 60 71
21 61 35
21 62 79
21 63 68
21 64 2
21 65 98
21 66 3
21 67 18
21 68 93
23 108 53
23 109 57
23 110 2
23 111 81
23 112 87
23 113 42
23 114 66
23 115 90
23 116 45
25 98 20
25 99 41
25 100 30
25 101 32
25 102 18
25 103 98
25 104 72
25 105 82
25 106 76
25 107 10
26 78 28
26 89 68
26 90 57
26 91 98
26 92 54
26 93 87
26 94 66
26 95 7
26 96 84
26 97 20
29 654 25
30 185 29
30 186 72
38 117 33
38 118 30
38 119 4
38 120 20
38 121 71
38 122 69
38 123 9
38 124 16
38 125 41
38 126 50
39 155 97
39 156 24
39 157 19
39 158 46
39 159 47
39 160 52
39 161 22
39 162 56
39 163 80
39 164 89
46 92 65
46 127 29
46 128 42
46 129 51
46 130 94
46 131 1
46 132 35
46 133 65
46 134 25
46 135 15
54 145 88
54 146 57
54 147 44
54 148 92
54 149 28
54 150 66
54 151 60
54 152 37
54 153 33
54 154 52
58 165 38
58 166 29
58 167 76
58 168 8
58 169 75
58 170 22
58 171 59
58 172 96
58 173 30
58 174 38
60 184 36
61 175 94
62 13 19
62 176 29
62 177 44
62 178 12
62 179 29
62 180 30
62 181 77
62 182 5
62 183 44
65 178 64
65 197 14
65 198 39
65 199 7
65 200 41
65 201 5
